"Host","Name","Session","State","Logon"
"n7rcws","notre","console","Activo","23/12/2024 16:31"
"localhost","notre","console","Activo","23/12/2024 16:31"
"n7rcws","notre","console","Activo","23/12/2024 16:31"
"localhost","notre","console","Activo","23/12/2024 16:31"
"n7rcws","notre","console","Activo","23/12/2024 16:31"
"localhost","notre","console","Activo","23/12/2024 16:31"
"n7rcws","notre","console","Activo","23/12/2024 16:31"
"localhost","notre","console","Activo","23/12/2024 16:31"
"n7rcws","notre","console","Activo","23/12/2024 16:31"
"opshostguard1","administrador","console","Activo","26/12/2024 1:25"
"n7rcws","notre","console","Activo","23/12/2024 16:31"
"opshostguard1","administrador","console","Activo","26/12/2024 1:25"
"n7rcws","notre","console","Activo","23/12/2024 16:31"
"opshostguard1","administrador","console","Activo","26/12/2024 1:25"
"n7rcws","notre","console","Activo","23/12/2024 16:31"
"n7rcws","notre","console","Activo","23/12/2024 16:31"
"n7rcws","notre","console","Activo","23/12/2024 16:31"
